Time,InitSite,InitFireRegion,InitFuel,InitPercentConifer,SelectedSizeOrDuration,SizeBin,Duration,FireSeason,WindSpeed,WindDirection,FFMC,BUI,PercentCuring,ISI,SitesChecked,CohortsKilled,MeanSeverity,eco-1,eco-2,eco-3,eco-0,TotalSitesInEvent
1,"(450, 293)",FireRegion1,16,100,136.18,1,134.19,Summer,4,280,86,315,100,3,6,18,2.71,3,3,0,0, 6
1,"(402, 302)",FireRegion1,16,100,220.86,2,220.49,Summer,2,278,91,148,100,11,301,907,4.39,37,262,2,0, 301
1,"(479, 254)",FireRegion1,1,100,125.45,1,125.38,Summer,2,257,88,323,100,3,29,65,3.30,25,4,0,0, 29
1,"(421, 170)",FireRegion2,1,100,197.40,2,188.22,Summer,3,9,90,246,100,11,29,90,4.23,0,28,1,0, 29
1,"(86, 339)",FireRegion3,16,100,173.89,1,159.12,Summer,1,203,84,320,100,1,11,36,2.92,0,0,11,0, 11
1,"(118, 132)",FireRegion3,16,100,108.61,1,105.25,Summer,4,356,85,303,100,7,11,38,3.92,0,0,11,0, 11
2,"(373, 99)",FireRegion2,16,100,174.68,1,173.97,Summer,2,276,89,299,100,11,86,228,4.44,0,46,40,0, 86
2,"(92, 295)",FireRegion2,16,100,236.81,2,235.57,Summer,1,113,91,256,100,11,51,159,4.29,0,51,0,0, 51
2,"(364, 126)",FireRegion3,1,100,271.30,3,268.76,Summer,2,280,91,178,100,21,130,500,4.95,0,56,74,0, 130
3,"(506, 255)",FireRegion1,16,100,241.90,3,238.51,Summer,2,264,92,184,100,11,119,338,4.34,65,53,1,0, 119
3,"(643, 228)",FireRegion2,16,100,164.96,1,160.72,Summer,2,283,86,285,100,3,13,31,3.00,0,13,0,0, 13
3,"(492, 143)",FireRegion3,16,100,202.52,2,199.29,Summer,1,113,90,253,100,15,71,147,4.76,0,0,71,0, 71
3,"(367, 125)",FireRegion3,31,0,197.16,2,189.76,Summer,2,285,90,223,100,14,36,0,4.86,0,9,27,0, 36
4,"(223, 114)",FireRegion1,1,100,268.42,3,267.98,Summer,2,274,92,211,100,15,639,2273,4.60,87,389,163,0, 639
4,"(352, 311)",FireRegion2,16,100,99.23,1,96.48,Summer,2,288,90,114,100,11,14,50,4.00,0,13,1,0, 14
4,"(84, 315)",FireRegion3,16,100,185.81,2,173.32,Summer,2,313,90,194,100,16,45,140,4.74,0,5,40,0, 45
5,"(476, 200)",FireRegion1,16,100,99.39,1,99.29,Summer,2,119,88,77,100,3,14,49,3.40,12,2,0,0, 14
5,"(620, 222)",FireRegion1,31,0,223.96,2,223.36,Summer,1,297,90,276,100,12,158,508,4.62,58,100,0,0, 158
5,"(484, 310)",FireRegion3,16,100,216.82,2,215.09,Summer,1,285,91,127,100,20,79,226,4.91,0,0,79,0, 79
5,"(165, 110)",FireRegion3,2,100,203.60,2,201.05,Summer,3,261,90,198,100,13,46,133,4.49,0,0,46,0, 46
5,"(77, 231)",FireRegion3,16,100,282.30,4,282.01,Summer,3,231,92,218,100,20,291,921,4.86,0,5,286,0, 291
5,"(595, 289)",FireRegion3,16,100,189.39,2,187.04,Summer,1,335,90,250,100,8,51,191,4.23,0,0,51,0, 51
6,"(529, 167)",FireRegion2,17,100,257.97,3,254.87,Summer,2,279,92,202,100,18,80,296,4.56,8,56,16,0, 80
6,"(266, 81)",FireRegion3,17,100,234.43,3,225.77,Summer,2,272,92,160,100,22,41,222,4.64,0,30,11,0, 41
6,"(524, 309)",FireRegion3,13,100,189.56,2,179.31,Summer,1,273,91,172,100,20,21,107,4.68,0,0,21,0, 21
7,"(357, 140)",FireRegion2,2,100,223.68,2,223.35,Summer,2,244,90,299,100,16,93,385,4.70,0,73,20,0, 93
7,"(215, 51)",FireRegion3,17,100,144.40,1,141.43,Summer,2,280,82,244,100,2,15,56,3.13,0,0,15,0, 15
8,"(513, 177)",FireRegion1,1,100,202.43,2,184.87,Summer,1,277,90,308,100,15,34,148,4.40,33,1,0,0, 34
8,"(577, 216)",FireRegion2,2,100,239.99,2,237.69,Summer,2,271,89,283,100,12,50,216,4.45,13,32,5,0, 50
8,"(476, 207)",FireRegion2,1,100,115.62,1,110.48,Summer,2,273,90,137,100,14,14,72,4.33,1,13,0,0, 14
8,"(474, 121)",FireRegion3,13,100,177.99,2,148.07,Summer,2,274,90,228,100,11,24,104,3.60,0,0,24,0, 24
9,"(456, 128)",FireRegion3,17,100,233.08,3,225.71,Summer,2,272,92,160,100,14,24,86,4.32,0,4,20,0, 24
10,"(491, 294)",FireRegion1,1,100,227.46,2,227.38,Summer,2,289,91,191,100,16,180,861,4.60,74,84,22,0, 180
10,"(456, 255)",FireRegion1,1,100,174.08,1,32.44,Summer,1,288,89,270,100,2,2,7,2.67,2,0,0,0, 2
10,"(524, 162)",FireRegion1,17,100,282.21,4,281.52,Summer,3,273,92,296,100,18,27,78,4.68,17,9,1,0, 27
10,"(302, 308)",FireRegion2,17,100,119.61,1,116.37,Summer,2,218,88,150,100,9,13,61,3.79,0,12,1,0, 13
10,"(308, 112)",FireRegion2,14,100,162.65,1,161.24,Summer,3,319,88,53,100,9,16,63,3.59,0,16,0,0, 16
