Time,ClimateRegionName,ClimateRegionIndex,SoilWaterHoldingCapacity,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 0, 34346, 0, 3475, 1189.5, 0, 0, 0, 0, 3, 86.4, 0, 0, 0, 0, 0, 47, 35.3, 0, 0, 0, 0, 75, 100, 3000, 300, 0, 0, 0, 0, 0.2, 0.2, 0, 0, 0, 0, 3, 15, 50, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 
0, eco2, 1, 0, 21854, 0, 3475, 1394.6, 0, 0, 0, 0, 3, 86.4, 0, 0, 0, 0, 0, 47, 35.3, 0, 0, 0, 0, 75, 100, 3000, 300, 0, 0, 0, 0, 0.2, 0.2, 0, 0, 0, 0, 3, 15, 50, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 
0, eco3, 2, 0, 6292, 0, 3475, 1011.8, 0, 0, 0, 0, 3, 86.4, 0, 0, 0, 0, 0, 47, 35.3, 0, 0, 0, 0, 75, 100, 3000, 300, 0, 0, 0, 0, 0.2, 0.2, 0, 0, 0, 0, 3, 15, 50, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 
0, eco4, 3, 0, 3541, 0, 3475, 586.6, 0, 0, 0, 0, 3, 86.4, 0, 0, 0, 0, 0, 47, 35.3, 0, 0, 0, 0, 75, 100, 3000, 300, 0, 0, 0, 0, 0.2, 0.2, 0, 0, 0, 0, 3, 15, 50, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 
0, eco5, 4, 0, 3017, 0, 3475, 930.7, 0, 0, 0, 0, 3, 86.4, 0, 0, 0, 0, 0, 47, 35.3, 0, 0, 0, 0, 75, 100, 3000, 300, 0, 0, 0, 0, 0.2, 0.2, 0, 0, 0, 0, 3, 15, 50, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 
5, eco1, 0, 0, 34346, -34.3, 3131, 1950.2, 87.5, 8.7, 18.7, 29, 0.67, 73.8, 2, 57.9, 5.8, 836.1, 83.6, 70.4, 31.7, 8.2, 3.2, 0.8, 0.5, 44.7, 43.8, 2741.9, 300.6, 1.6, 0.2, 2.7, 0.4, 0.2, 0.2, 0, 0.1, 0, 0, 1, 3.1, 48.5, 15.1, 0, -0.1, 0, 0, 0.3, 1.1, -1.2, 0, 36.92, 34.12, 0.68, 0, 0, 0.5, 0.3, 68.6, 9.65, 0, 
5, eco2, 1, 0, 21854, -39, 3214.3, 2167.3, 92, 9.2, 19.9, 31.9, 0.79, 75.2, 2.2, 60.8, 6.1, 938.5, 93.8, 75.3, 32.4, 8.9, 3.3, 0.9, 0.6, 46.5, 41, 2826.2, 300.6, 1.7, 0.2, 3.1, 0.5, 0.3, 0.2, 0, 0.1, 0, 0, 1, 3.7, 48.6, 15.1, 0, -0.1, 0, 0, 0.3, 1.4, -1.1, 0, 40.45, 12.74, 0.55, 0, 0, 0.5, 0.3, 69.4, 10.66, 0, 
5, eco3, 2, 0, 6292, -32.9, 3218.9, 1598.9, 70.5, 7, 15.5, 23.9, 0.82, 73.8, 1.6, 44.3, 4.4, 688.2, 68.8, 67.1, 33.9, 8.1, 2.6, 0.8, 0.6, 41.8, 42.7, 2833.8, 300.6, 1.1, 0.1, 2.1, 0.3, 0.2, 0.2, 0, 0.1, 0, 0, 0.9, 3.9, 48.9, 15.1, 0, 0, 0, 0, 0.2, 1, -0.8, 0, 40.78, 13.05, 0.54, 0, 0, 0.4, 0.2, 69.8, 10.78, 0, 
5, eco4, 3, 0, 3541, -10.1, 3156.8, 1005.3, 60.1, 6, 17.8, 20.9, 0.79, 72.5, 2.1, 29.4, 2.9, 433.5, 43.3, 55.7, 32.5, 8.6, 3.1, 0.8, 0.6, 38.8, 48.4, 2768.9, 300.7, 0.9, 0.1, 1.3, 0.2, 0.2, 0.2, 0, 0.1, 0, 0, 1, 3.7, 48.8, 15.1, 0, -0.1, 0, 0, 0.3, 1.3, -1.1, 0, 38.83, 26.16, 0.59, 0, 0, 0.2, 0.3, 69.6, 10.37, 0, 
5, eco5, 4, 0, 3017, -27.9, 3193.7, 1548.5, 77.9, 7.8, 17.9, 24.4, 0.73, 73.5, 2.1, 45.3, 4.5, 664.2, 66.4, 62.1, 32, 7.8, 2.8, 0.8, 0.5, 38.9, 39, 2815.1, 300.7, 1.2, 0.1, 2.1, 0.3, 0.2, 0.2, 0, 0.1, 0, 0, 0.9, 3.7, 48.8, 15.1, 0, -0.1, 0, 0, 0.3, 1.3, -1.2, 0, 37.99, 12.8, 0.52, 0, 0, 0.4, 0.3, 69.4, 9.97, 0, 
