Time,ClimateRegionName,ClimateRegionIndex,SoilWaterHoldingCapacity,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
10, eco1, 0, 0, 34346, -62.9, 2937.5, 2873.2, 128.5, 12.9, 25.3, 47.7, 0.23, 72.9, 2.2, 104.7, 10.5, 1218.3, 121.8, 97.7, 19.5, 11.2, 4.5, 1.1, 0.6, 57.2, 34.3, 2544.7, 301.1, 2.8, 0.3, 4, 0.6, 0.3, 0.1, 0.1, 0.1, 0, 0, 1, 2.3, 46, 15.2, 0, -0.1, 0, 0, 0.3, 1.3, -0.7, 0, 32.53, 7.66, 0.12, 0, 0, 0.7, 0.4, 64.9, 4.41, 0, 
10, eco2, 1, 0, 21854, -66.4, 3073.5, 3057.8, 134.6, 13.5, 27.5, 52, 0.29, 74, 2.5, 105.8, 10.6, 1310.5, 131.1, 105.2, 20.2, 12.5, 4.8, 1.2, 0.7, 61.3, 33.6, 2677.6, 301, 2.9, 0.3, 4.3, 0.6, 0.3, 0.1, 0.1, 0.1, 0, 0, 1, 2.7, 46.1, 15.2, 0, -0.1, 0, 0, 0.3, 1.5, -0.8, 0, 35.3, 2.14, 0.07, 0, 0, 0.7, 0.4, 65.5, 4.88, 0, 
10, eco3, 2, 0, 6292, -58.3, 3060.3, 2317.7, 108.8, 10.9, 22.4, 40.2, 0.29, 71.6, 1.9, 80.8, 8.1, 1000.1, 100, 88.2, 22, 11.9, 3.8, 1.1, 0.7, 51.3, 34.7, 2673.2, 301.1, 2, 0.2, 2.9, 0.4, 0.3, 0.1, 0.1, 0.1, 0, 0, 0.8, 2.7, 46.5, 15.2, 0, -0.1, 0, 0, 0.2, 1.2, -0.5, 0, 36.38, 2.78, 0.08, 0, 0, 0.5, 0.3, 65.6, 4.88, 0, 
10, eco4, 3, 0, 3541, -42.2, 2955.4, 1450.2, 94.6, 9.5, 23.7, 41, 0.33, 69.9, 2, 47.8, 4.8, 625.6, 62.6, 83.6, 20.7, 13.1, 4.7, 1.1, 0.7, 48, 35, 2571.2, 301.2, 1.4, 0.1, 1.9, 0.3, 0.3, 0.1, 0.1, 0.2, 0, 0, 1, 2.6, 46.4, 15.2, 0, -0.1, 0, 0, 0.2, 1.2, -0.5, 0, 34.76, 4.15, 0.08, 0, 0, 0.3, 0.4, 65.8, 5.06, 0, 
10, eco5, 4, 0, 3017, -49.4, 3030.5, 2300.6, 115.6, 11.6, 24.3, 42.6, 0.3, 71.7, 2.5, 80.5, 8, 980.2, 98, 84.7, 20.1, 10.1, 3.7, 1, 0.6, 49.5, 34.9, 2644.8, 301.2, 2.1, 0.2, 3.1, 0.5, 0.3, 0.1, 0.1, 0.1, 0, 0, 0.9, 2.7, 46.2, 15.2, 0, -0.1, 0, 0, 0.3, 1.5, -0.8, 0, 34.1, 2.79, 0.07, 0, 0, 0.6, 0.4, 65.4, 4.75, 0, 
15, eco1, 0, 0, 34346, -99.6, 2846.1, 3707, 162.6, 16.3, 28.4, 62.6, 0.13, 73.5, 2, 140.5, 14.1, 1576.3, 157.6, 141.6, 19.6, 14.3, 6, 1.5, 1, 76.8, 37.4, 2430.3, 301.6, 3.6, 0.4, 5.2, 0.8, 0.5, 0.1, 0.1, 0.2, 0, 0, 1.1, 2.1, 44.1, 15.2, 0, -0.1, 0, 0, 0.3, 1.1, -0.5, 0, 38.75, 10, 0.1, 0, 0, 1, 0.4, 63, 5.21, 0, 
15, eco2, 1, 0, 21854, -93.3, 3032.5, 3837.9, 166.5, 16.6, 29.9, 69.1, 0.17, 74.4, 2.4, 138.2, 13.8, 1643.1, 164.3, 149.4, 19.8, 14.2, 5.9, 1.5, 1, 82.5, 33.3, 2615.4, 301.4, 3.7, 0.4, 5.3, 0.8, 0.5, 0.1, 0.1, 0.2, 0, 0, 1.2, 2.6, 44.2, 15.2, 0, -0.1, 0, 0, 0.4, 1.5, -0.7, 0, 42.34, 2.34, 0.09, 0, 0, 0.9, 0.5, 63.6, 6, 0, 
15, eco3, 2, 0, 6292, -76.4, 2991.1, 2974.1, 139.8, 14, 24.8, 54.5, 0.18, 71.3, 2.2, 106, 10.6, 1275.3, 127.5, 120.4, 18.1, 12.8, 4.3, 1.2, 0.9, 68, 34.7, 2587, 301.5, 2.6, 0.3, 3.7, 0.6, 0.4, 0.1, 0.1, 0.1, 0, 0, 0.9, 2.6, 44.6, 15.2, 0, -0.1, 0, 0, 0.3, 1.4, -0.7, 0, 43.88, 3.86, 0.1, 0, 0, 0.7, 0.3, 63.8, 6.17, 0, 
15, eco4, 3, 0, 3541, -27.1, 2876.9, 1677.8, 96.1, 9.6, 22.7, 60.2, 0.24, 68.7, 2.3, 55.6, 5.6, 722.3, 72.2, 126.5, 18.2, 12.3, 4.5, 1.2, 0.8, 66.6, 34.8, 2473.8, 301.7, 1.6, 0.1, 2.2, 0.3, 0.4, 0.1, 0.1, 0.1, 0, 0, 1, 2.6, 44.6, 15.2, 0, -0.1, 0, 0, 0.3, 1.4, -0.7, 0, 42.4, 5.22, 0.09, 0, 0, 0.4, 0.4, 64, 6.37, 0, 
15, eco5, 4, 0, 3017, -74.5, 2944.8, 2968.8, 143.1, 14.3, 26.3, 58.1, 0.19, 71.6, 2.4, 107.6, 10.8, 1267.2, 126.7, 123.7, 19.1, 12.1, 4.7, 1.2, 0.8, 67.3, 35.6, 2540.2, 301.7, 2.7, 0.3, 4, 0.6, 0.4, 0.1, 0.1, 0.1, 0, 0, 1, 2.6, 44.3, 15.2, 0, -0.1, 0, 0, 0.3, 1.4, -0.7, 0, 41.35, 4.44, 0.08, 0, 0, 0.8, 0.4, 63.5, 5.86, 0, 
20, eco1, 0, 0, 34346, -99.3, 2763.4, 4739.3, 168.7, 16.9, 34.7, 68.4, 0.23, 74.9, 1.9, 184.1, 18.4, 2031.9, 203.2, 158.4, 19.3, 16.1, 6.9, 1.6, 1, 93.9, 33.4, 2334, 302, 4.7, 0.5, 6.8, 1, 0.5, 0.1, 0.1, 0.2, 0, 0, 1.3, 2, 42.3, 15.3, 0, -0.1, 0, 0, 0.3, 0.9, -0.6, 0, 36.47, 14.64, 0.27, 0, 0, 0.9, 0.5, 61.4, 6.27, 0, 
20, eco2, 1, 0, 21854, -104, 3014.1, 4805.8, 173.5, 17.3, 35.1, 74.5, 0.26, 75.3, 2, 181, 18.1, 2062.6, 206.3, 165.6, 19.7, 16.1, 7, 1.6, 1.1, 96.2, 32.5, 2583.6, 301.8, 4.8, 0.5, 6.6, 1, 0.5, 0.1, 0.1, 0.2, 0, 0, 1.3, 2.5, 42.2, 15.3, 0, -0.1, 0, 0, 0.3, 1.1, -0.7, 0, 40.41, 2.17, 0.21, 0, 0, 0.9, 0.5, 61.8, 7.39, 0, 
20, eco3, 2, 0, 6292, -92.2, 2938.5, 3861.6, 155.3, 15.5, 30.6, 60.7, 0.32, 71.7, 1.9, 144.2, 14.4, 1655.7, 165.6, 135.9, 17.1, 14.7, 5, 1.4, 1, 81.1, 33.5, 2522, 301.9, 3.6, 0.4, 4.6, 0.7, 0.4, 0.1, 0.1, 0.1, 0, 0, 1, 2.5, 42.7, 15.3, 0, -0.1, 0, 0, 0.3, 1, -0.7, 0, 41.42, 5.4, 0.25, 0, 0, 0.8, 0.4, 62, 8.07, 0, 
20, eco4, 3, 0, 3541, -36.8, 2818, 1906.6, 103.3, 10.3, 25.2, 63.5, 0.36, 67.5, 1.9, 70.7, 7.1, 817.6, 81.8, 141, 17.3, 13, 4.8, 1.2, 0.8, 77.9, 32.8, 2405.2, 302.2, 1.9, 0.2, 2.5, 0.4, 0.4, 0.1, 0.1, 0.2, 0, 0, 1, 2.5, 42.6, 15.3, 0, -0.1, 0, 0, 0.3, 1.1, -0.7, 0, 39.24, 4.88, 0.23, 0, 0, 0.5, 0.4, 62.1, 7.92, 0, 
20, eco5, 4, 0, 3017, -80.1, 2879, 3806.4, 151.4, 15.1, 31.9, 63.3, 0.31, 72.1, 2.1, 143.5, 14.4, 1633, 163.3, 137.6, 18.8, 13.6, 5.4, 1.4, 0.9, 81.2, 33.4, 2462.1, 302.2, 3.6, 0.4, 5.2, 0.8, 0.4, 0.1, 0.1, 0.1, 0, 0, 1.1, 2.4, 42.3, 15.3, 0, -0.1, 0, 0, 0.3, 1.1, -0.7, 0, 38.28, 6.11, 0.2, 0, 0, 0.8, 0.4, 61.7, 7.43, 0, 
25, eco1, 0, 0, 34346, -141.1, 2733.9, 5820.2, 206, 20.6, 37, 66, 0.15, 76.1, 1.7, 211.6, 21.2, 2500.6, 250.1, 160.4, 19.7, 16.1, 6.9, 1.9, 1.3, 105.5, 33.4, 2292.5, 302.5, 5.3, 0.5, 8.4, 1.3, 0.5, 0.1, 0.1, 0.2, 0, 0.1, 1.4, 2, 40.8, 15.3, 0, -0.2, 0, 0, 0.4, 0.8, -0.4, 0, 27.88, 10.3, 0.15, 0, 0, 1.2, 0.5, 60, 5, 0, 
25, eco2, 1, 0, 21854, -149.3, 3027.1, 5860.6, 216.9, 21.7, 37, 68.8, 0.17, 76.4, 1.9, 213.3, 21.3, 2523.1, 252.3, 160.3, 19.8, 15.3, 6.7, 1.9, 1.3, 105.4, 32.2, 2587.3, 302.2, 5.6, 0.6, 8.1, 1.2, 0.5, 0.1, 0.1, 0.2, 0, 0.1, 1.4, 2.4, 40.7, 15.3, 0, -0.1, 0, 0, 0.4, 1, -0.6, 0, 31.05, 0.89, 0.12, 0, 0, 1.3, 0.5, 60.3, 5.78, 0, 
25, eco3, 2, 0, 6292, -136, 2919.5, 4856.6, 205.7, 20.6, 33.2, 57.6, 0.24, 72.2, 2.1, 176.3, 17.6, 2091.6, 209.2, 131.9, 16, 14.3, 4.8, 1.5, 0.9, 90, 33, 2494.1, 302.4, 4.3, 0.4, 5.8, 0.9, 0.4, 0.1, 0.1, 0.1, 0, 0, 1.1, 2.4, 41, 15.3, 0, -0.1, 0, 0, 0.3, 1.2, -0.7, 0, 31.8, 5.46, 0.15, 0, 0, 1.1, 0.4, 60.4, 6.09, 0, 
25, eco4, 3, 0, 3541, -60.1, 2784.8, 2302, 124, 12.4, 23.6, 42.2, 0.26, 66.5, 2, 85.8, 8.6, 986.5, 98.6, 112.7, 13.7, 11.1, 4, 1.1, 0.7, 78.6, 31.1, 2372.5, 302.6, 2.2, 0.2, 3, 0.4, 0.3, 0.1, 0.1, 0.1, 0, 0, 1, 2.4, 41, 15.4, 0, -0.1, 0, 0, 0.3, 1.1, -0.7, 0, 29.79, 3.43, 0.13, 0, 0, 0.6, 0.4, 60.2, 5.99, 0, 
25, eco5, 4, 0, 3017, -128.8, 2857.7, 4774.5, 192.8, 19.3, 34.3, 57.8, 0.2, 72.8, 1.9, 172.5, 17.3, 2053.6, 205.4, 130.2, 18.1, 13.6, 5.5, 1.6, 1.1, 87.6, 33, 2434.4, 302.7, 4.3, 0.4, 6.5, 1, 0.4, 0.1, 0.1, 0.1, 0, 0, 1.2, 2.3, 40.7, 15.4, 0, -0.1, 0, 0, 0.4, 1, -0.5, 0, 29.13, 2.84, 0.1, 0, 0, 1.1, 0.5, 60.1, 5.53, 0, 
30, eco1, 0, 0, 34346, -163.8, 2743.5, 7300, 269.7, 27, 45.2, 76.1, 0.48, 79.1, 2.7, 255.8, 25.6, 3155, 315.5, 164.2, 19.2, 15.4, 6.6, 1.9, 1.2, 116.7, 34.6, 2289.4, 302.8, 6.4, 0.6, 10.5, 1.6, 0.6, 0.1, 0.1, 0.2, 0, 0, 1.7, 2.1, 39.4, 15.3, 0.1, -0.2, 0, 0, 0.7, 1.1, -0.9, 0, 28.37, 13.94, 0.34, 0, 0, 1.6, 0.6, 59.2, 8.08, 0, 
30, eco2, 1, 0, 21854, -147.3, 3042.4, 7293.8, 256.5, 25.7, 44.5, 77, 0.59, 79.1, 2.9, 254.8, 25.5, 3153.5, 315.3, 161.1, 18.9, 14.8, 6.5, 1.9, 1.2, 113.9, 33.6, 2592.3, 302.6, 6.7, 0.7, 10, 1.5, 0.5, 0.1, 0.1, 0.1, 0, 0.1, 1.6, 2.6, 39.2, 15.3, 0.1, -0.2, 0, 0, 0.6, 1.4, -1.2, 0, 31.45, 3.68, 0.32, 0, 0, 1.5, 0.7, 59.6, 9.16, 0, 
30, eco3, 2, 0, 6292, -127.1, 2919.9, 6203.1, 212.2, 21.2, 41.1, 66.5, 0.65, 74.3, 2.2, 213.3, 21.3, 2684.7, 268.5, 146.5, 17.2, 17.5, 5.7, 1.9, 1.3, 101, 33.6, 2482.6, 302.7, 5.2, 0.5, 7.3, 1.1, 0.4, 0.1, 0.1, 0.1, 0, 0, 1.4, 2.5, 39.5, 15.4, 0.1, -0.2, 0, 0, 0.5, 1.1, -1, 0, 31.65, 5.21, 0.31, 0, 0, 1.1, 0.5, 59.7, 9.25, 0, 
30, eco4, 3, 0, 3541, -59.8, 2726.5, 3137.7, 138.4, 13.8, 29.6, 35.3, 0.66, 67.1, 2.4, 109.5, 10.9, 1353.5, 135.4, 81.6, 9.8, 11.6, 3.9, 1.2, 0.8, 69.6, 31.4, 2322.5, 303, 2.7, 0.3, 4.1, 0.6, 0.3, 0, 0.1, 0.1, 0, 0, 1.1, 2.5, 39.3, 15.4, 0, -0.1, 0, 0, 0.4, 1.3, -1.1, 0, 30.01, 5.18, 0.29, 0, 0, 0.7, 0.4, 59.1, 9.13, 0, 
30, eco5, 4, 0, 3017, -133.6, 2853, 6078.9, 231.9, 23.2, 41.6, 64.5, 0.58, 75.1, 2.7, 207.7, 20.8, 2631.6, 263.2, 132.7, 17.1, 14.1, 5.6, 1.7, 1.1, 96.5, 33.5, 2419.9, 303.2, 5.2, 0.5, 8.3, 1.2, 0.4, 0.1, 0.1, 0.1, 0, 0, 1.4, 2.5, 39.2, 15.4, 0.1, -0.2, 0, 0, 0.6, 1.3, -1.1, 0, 29.56, 5.7, 0.28, 0, 0, 1.3, 0.6, 59.3, 8.61, 0, 
35, eco1, 0, 0, 34346, -178.7, 2724.2, 9332.3, 255.3, 25.5, 57.7, 98, 0.19, 83.3, 2.1, 321.3, 32.1, 4051.2, 405.1, 203.3, 22.7, 25.9, 11.5, 2.7, 1.8, 124.4, 34.8, 2261.7, 303.3, 8, 0.8, 13.5, 2, 0.7, 0.1, 0.1, 0.3, 0, 0.1, 1.9, 2.2, 37.9, 15.4, 0.1, -0.2, 0, 0, 0.5, 1, -0.6, 0, 37.82, 14.44, 0.17, 0, 0, 1.3, 0.8, 58.1, 6.23, 0, 
35, eco2, 1, 0, 21854, -173.9, 3048, 9114.4, 245.8, 24.6, 53.9, 96.3, 0.2, 82.7, 2.2, 311.7, 31.2, 3957.5, 395.8, 201.4, 22.9, 24.6, 11.2, 2.7, 1.9, 119.9, 33.7, 2591.3, 303, 8.3, 0.8, 12.5, 1.9, 0.6, 0.1, 0.1, 0.2, 0, 0.1, 1.8, 2.7, 37.8, 15.4, 0.1, -0.2, 0, 0, 0.4, 1.1, -0.7, 0, 42.48, 2.41, 0.2, 0, 0, 1.3, 0.8, 58.4, 7.4, 0, 
35, eco3, 2, 0, 6292, -149.7, 2918.8, 7749.9, 219.2, 21.9, 47.1, 82.9, 0.27, 76.6, 2, 256, 25.6, 3373.3, 337.3, 179.2, 20.8, 23.9, 8.1, 2.4, 1.6, 109.5, 34.3, 2471.8, 303.2, 6.3, 0.6, 9.2, 1.4, 0.5, 0.1, 0.1, 0.2, 0, 0.1, 1.5, 2.7, 38.2, 15.4, 0.1, -0.2, 0, 0, 0.4, 1.1, -0.7, 0, 43.17, 5.38, 0.23, 0, 0, 1.1, 0.6, 58.5, 8.23, 0, 
35, eco4, 3, 0, 3541, -88, 2630.4, 4114.5, 133.8, 13.4, 31.2, 43.4, 0.31, 67.5, 1.7, 135.4, 13.5, 1790.1, 179, 90.8, 10.4, 16, 5.7, 1.5, 1.1, 62.2, 30.8, 2233.9, 303.4, 3.4, 0.3, 5.4, 0.8, 0.3, 0, 0.1, 0.2, 0, 0, 1, 2.5, 37.6, 15.5, 0, -0.1, 0, 0, 0.2, 1, -0.6, 0, 40.7, 5.33, 0.2, 0, 0, 0.7, 0.4, 57.2, 7.95, 0, 
35, eco5, 4, 0, 3017, -159, 2837, 7817.6, 234.6, 23.5, 50.8, 82.8, 0.27, 78.3, 2.3, 262.4, 26.2, 3399.8, 340, 162.2, 19.4, 21, 8.8, 2.2, 1.5, 102.6, 33.7, 2397.1, 303.6, 6.6, 0.7, 10.7, 1.6, 0.5, 0.1, 0.1, 0.2, 0, 0.1, 1.6, 2.5, 37.8, 15.5, 0.1, -0.2, 0, 0, 0.4, 1.2, -0.7, 0, 40.14, 5.38, 0.16, 0, 0, 1.2, 0.7, 58, 7.43, 0, 
40, eco1, 0, 0, 34346, -137.6, 2836.3, 10680, 254.9, 25.5, 57.1, 113, 0.14, 85.5, 2.7, 325.2, 32.5, 4670.5, 467.1, 257.9, 28.6, 23.1, 10.1, 2.6, 1.5, 164.7, 35.2, 2332.6, 303.7, 8.2, 0.8, 15.6, 2.3, 0.9, 0.1, 0.1, 0.2, 0, 0.1, 2.4, 2.1, 37.1, 15.4, 0.1, -0.3, 0, 0, 0.7, 1.1, -0.7, 0, 26.79, 5.45, 0.07, 0, 0, 1.3, 0.8, 57.6, 3.97, 0, 
40, eco2, 1, 0, 21854, -139.7, 3153.8, 10454.7, 252.1, 25.2, 54.8, 111.2, 0.16, 84.5, 2.8, 324.4, 32.4, 4568.4, 456.8, 244, 27.5, 20.8, 9.6, 2.5, 1.4, 154.9, 35.1, 2660.4, 303.4, 8.7, 0.9, 14.4, 2.2, 0.8, 0.1, 0.1, 0.2, 0, 0.1, 2.2, 2.4, 36.8, 15.4, 0.1, -0.2, 0, 0, 0.6, 1.3, -0.8, 0, 29.49, 0.77, 0.06, 0, 0, 1.3, 0.8, 57.4, 4.31, 0, 
40, eco3, 2, 0, 6292, -127.9, 3004.4, 8985.4, 212.3, 21.2, 48.6, 97.1, 0.17, 77.8, 2.1, 271.5, 27.2, 3941, 394.1, 225.9, 25.9, 24.2, 8.1, 2.5, 1.5, 139, 34.5, 2527.3, 303.6, 6.8, 0.7, 10.6, 1.6, 0.6, 0.1, 0.1, 0.2, 0, 0.1, 1.8, 2.3, 37.2, 15.5, 0.1, -0.2, 0, 0, 0.4, 1, -0.5, 0, 30.26, 0.91, 0.06, 0, 0, 1, 0.7, 57.3, 4.48, 0, 
40, eco4, 3, 0, 3541, -89.4, 2619.7, 4995.8, 147.7, 14.8, 33.2, 53.4, 0.21, 67.7, 1.8, 150.6, 15.1, 2186.1, 218.6, 120.9, 13.6, 16.1, 5.8, 1.6, 0.9, 80.6, 29.1, 2206.2, 303.8, 3.8, 0.4, 6.6, 1, 0.4, 0.1, 0.1, 0.2, 0, 0, 1.3, 2.1, 36.2, 15.5, 0, -0.1, 0, 0, 0.3, 0.9, -0.5, 0, 28.98, 0.79, 0.06, 0, 0, 0.7, 0.5, 55.6, 4.58, 0, 
40, eco5, 4, 0, 3017, -122.5, 2919.2, 9033.8, 228.6, 22.9, 51.4, 96.7, 0.2, 79.8, 2.6, 269.6, 27, 3956.7, 395.7, 201.6, 23.4, 18.7, 7.8, 2.2, 1.2, 132.8, 34.8, 2447.5, 304.1, 6.9, 0.7, 12.5, 1.9, 0.6, 0.1, 0.1, 0.2, 0, 0, 1.9, 2.3, 36.9, 15.5, 0.1, -0.2, 0, 0, 0.6, 1.2, -0.8, 0, 28.17, 1.78, 0.05, 0, 0, 1.1, 0.7, 57.1, 4.23, 0, 
45, eco1, 0, 0, 34346, -218.7, 2949.3, 12466.1, 367.3, 36.7, 63.8, 131.9, 0.21, 90, 3.3, 369.7, 37, 5469.9, 547, 285.5, 32.4, 24.2, 10.9, 3, 1.8, 182, 36.2, 2426.9, 304.2, 9.3, 0.9, 18.2, 2.7, 1, 0.2, 0.1, 0.2, 0, 0.1, 2.5, 2.4, 36.7, 15.5, 0.1, -0.4, 0, 0, 0.9, 1.2, -1.1, 0, 39.74, 11.59, 0.34, 0, 0, 2.2, 0.9, 57.7, 7.7, 0, 
45, eco2, 1, 0, 21854, -187.3, 3268.3, 12076.7, 333, 33.3, 60.2, 128.5, 0.22, 88.4, 3.4, 363.6, 36.4, 5295.5, 529.5, 271.5, 31.2, 22, 10.5, 2.8, 1.8, 170, 36.7, 2757.7, 303.8, 9.8, 1, 16.6, 2.5, 0.9, 0.1, 0.1, 0.2, 0, 0.1, 2.3, 2.7, 36.2, 15.5, 0.1, -0.3, 0, 0, 0.8, 1.5, -1.4, 0, 43.17, 2.52, 0.31, 0, 0, 1.9, 0.9, 57.4, 8.55, 0, 
45, eco3, 2, 0, 6292, -135.8, 3113.1, 10221.9, 257.8, 25.8, 50.5, 111, 0.26, 80.1, 2.6, 293.4, 29.3, 4501.6, 450.2, 252.2, 29.7, 23.3, 8, 2.6, 1.6, 155.4, 36.2, 2617.5, 304, 7.5, 0.7, 12.1, 1.8, 0.7, 0.1, 0.1, 0.2, 0, 0.1, 1.9, 2.6, 36.4, 15.5, 0.1, -0.2, 0, 0, 0.6, 1.2, -1, 0, 44.43, 2.78, 0.32, 0, 0, 1.3, 0.7, 57.1, 9.49, 0, 
